"filename", "language", "Todo", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\TODO.todo", "Todo", 42, 0, 0, 2, 44
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\app.dart", "Dart", 0, 99, 3, 16, 118
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\enums\open_item_command_type.dart", "Dart", 0, 4, 0, 1, 5
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\enums\side_item_type.dart", "Dart", 0, 5, 0, 1, 6
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\bool_exensions.dart", "Dart", 0, 9, 0, 1, 10
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\build_context_extensions.dart", "Dart", 0, 77, 2, 6, 85
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\color_extensions.dart", "Dart", 0, 34, 5, 9, 48
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\double_exensions.dart", "Dart", 0, 9, 0, 1, 10
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\sidebar_extensions.dart", "Dart", 0, 37, 0, 6, 43
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\string_extensions.dart", "Dart", 0, 19, 3, 7, 29
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\native_plugins\file_icon_plugin.dart", "Dart", 0, 15, 1, 3, 19
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\sidebar_theme.dart", "Dart", 0, 171, 6, 3, 180
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\constants.dart", "Dart", 0, 18, 2, 19, 39
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\custom_icons.dart", "Dart", 0, 22, 1, 4, 27
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\generate.dart", "Dart", 0, 8, 0, 2, 10
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\global_colors.dart", "Dart", 0, 8, 0, 3, 11
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\identical.dart", "Dart", 0, 9, 0, 2, 11
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\picker.dart", "Dart", 0, 68, 1, 9, 78
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\shadows.dart", "Dart", 0, 22, 2, 3, 27
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\transition_animation.dart", "Dart", 0, 75, 6, 17, 98
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\app_scaffold.dart", "Dart", 0, 58, 0, 4, 62
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\dialog_button.dart", "Dart", 0, 41, 0, 4, 45
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\fade_effect.dart", "Dart", 0, 34, 1, 4, 39
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\global_loading.dart", "Dart", 0, 27, 0, 4, 31
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\overflow_tooltip_text.dart", "Dart", 0, 35, 0, 7, 42
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\right_click_menu.dart", "Dart", 0, 98, 0, 6, 104
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\windows\window_animation_utils_mixin.dart", "Dart", 0, 95, 3, 21, 119
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\windows\window_utils.dart", "Dart", 0, 115, 15, 30, 160
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\data\hive_side_items_repo.dart", "Dart", 0, 37, 6, 10, 53
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\adapters\side_file_adapter.dart", "Dart", 0, 29, 0, 5, 34
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\adapters\side_folder_adapter.dart", "Dart", 0, 26, 0, 5, 31
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_file.dart", "Dart", 0, 27, 0, 4, 31
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_folder.dart", "Dart", 0, 26, 2, 4, 32
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_item.dart", "Dart", 0, 16, 0, 4, 20
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\side_items_repo.dart", "Dart", 0, 9, 0, 7, 16
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\cubits\side_items_cubit.dart", "Dart", 0, 162, 15, 25, 202
