"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\TODO.todo", "Todo", 0, 24, 0, 0, 24
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\app.dart", "Dart", -2, 0, 0, 1, -1
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\enums\side_item_type.dart", "Dart", 16, 0, 0, 2, 18
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\sidebar_extensions.dart", "Dart", -4, 0, 0, 0, -4
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\extensions\string_extensions.dart", "Dart", 18, 0, 2, 6, 26
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\native_plugins\url_icon_plugin.dart", "Dart", 27, 0, 1, 4, 32
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\native_plugins\window_aero_blur.dart", "Dart", 7, 0, 0, 3, 10
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\sidebar_theme.dart", "Dart", -108, 0, -2, 3, -107
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_checkbox_theme.dart", "Dart", 26, 0, 0, 2, 28
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_dialog_theme.dart", "Dart", 18, 0, 0, 2, 20
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_divider_theme.dart", "Dart", 7, 0, 0, 2, 9
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_extensions_theme.dart", "Dart", 11, 0, 0, 2, 13
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_icon_button_theme.dart", "Dart", 17, 0, 0, 2, 19
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_icon_theme.dart", "Dart", 3, 0, 0, 2, 5
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_input_decoration_theme.dart", "Dart", 50, 0, 0, 2, 52
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_popup_menu_theme.dart", "Dart", 19, 0, 0, 2, 21
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_radio_theme.dart", "Dart", 7, 0, 0, 2, 9
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_slider_theme.dart", "Dart", 12, 0, 0, 2, 14
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_switch_theme.dart", "Dart", 12, 0, 0, 2, 14
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_text_theme.dart", "Dart", 29, 0, 1, 2, 32
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\theme\themes\sidebar_tooltip_theme.dart", "Dart", 17, 0, 0, 2, 19
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\constants.dart", "Dart", 1, 0, -1, 0, 0
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\identical.dart", "Dart", -1, 0, 0, 0, -1
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\picker.dart", "Dart", 25, 0, 5, 7, 37
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\config\utils\widgets\app_scaffold.dart", "Dart", -21, 0, 0, 0, -21
